"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
2450995,"November 2, 2022",Wisconsin,Milwaukee,"3200 block of S 13th St",0,1,N/A
2450909,"November 2, 2022",California,"Los Angeles","11852 S Main St",0,1,N/A
2450888,"November 2, 2022","New York",Brooklyn,"Bergen St and Nostrand Ave",0,1,N/A
2450966,"November 2, 2022","New York",Buffalo,"900 block of Northland Ave",0,1,N/A
2450914,"November 2, 2022","District of Columbia",Washington,"4301 13th St NW",0,0,N/A
2450662,"November 1, 2022",Kentucky,Louisville,"1600 block of Gallagher St",0,1,N/A
2450640,"November 1, 2022",Tennessee,Memphis,"Doris Ave and Mississippi Blvd",1,0,N/A
2450624,"November 1, 2022",Tennessee,Chattanooga,"2500 Market St",0,0,N/A
2450612,"November 1, 2022","South Carolina",Johnston,"600 block of Ridge Rd",0,1,N/A
2450557,"November 1, 2022",Illinois,"East Saint Louis","935 St Louis Ave",2,3,N/A
2450560,"November 1, 2022",Virginia,Richmond,"600 block of W Bacon St",0,1,N/A
2450545,"November 1, 2022",California,Bloomington,"10600 block of Geronimo Ave",1,0,N/A
2450549,"November 1, 2022",Virginia,Richmond,"W Broad St and N Adams St",0,1,N/A
2450542,"November 1, 2022","South Carolina",Spartanburg,"Conrad Dr",0,1,N/A
2450529,"November 1, 2022",Wisconsin,Milwaukee,"N 1st St and W Auer Ave",0,1,N/A
2450496,"November 1, 2022",California,Stockton,"407 California St",0,1,N/A
2450477,"November 1, 2022",Mississippi,Meridian,"1716 MS-39",1,0,N/A
2450475,"November 1, 2022",Missouri,"Kansas City","10500 E 42nd St",0,1,N/A
2450449,"November 1, 2022",Indiana,Indianapolis,"E 40th St and N Emerson Ave",0,1,N/A
2450444,"November 1, 2022",Tennessee,Heiskell,"1923 E Raccoon Valley Dr",1,0,N/A
2450431,"November 1, 2022","South Carolina",Kingstree,"615 Martin Luther King Ave",0,0,N/A
2450424,"November 1, 2022",Colorado,"Colorado Springs","425 Prospect Lake Dr",0,1,N/A
2450360,"November 1, 2022",Colorado,Denver,"1400 block of Verbena St",1,5,N/A
2450230,"November 1, 2022",Minnesota,"Saint Paul (North Saint Paul)","2300 block of Shoshone Rd",1,0,N/A
2450374,"November 1, 2022",Colorado,"Colorado Springs","6888 Black Forest Rd",0,0,N/A
2450366,"November 1, 2022",Illinois,Chicago,"S Leamington Ave",0,1,N/A
2450358,"November 1, 2022","District of Columbia",Washington,"24th St NE and H St NE",0,1,N/A
2450349,"November 1, 2022",Michigan,Wyoming,"2200 block of Indian Mounds Dr",1,0,N/A
2450354,"November 1, 2022","District of Columbia",Washington,"5000 block of Benning Rd SE",0,2,N/A
2449920,"November 1, 2022","New York",Brooklyn,"Crown St and Rogers Ave",1,0,N/A
2450329,"November 1, 2022",California,"Van Nuys","6998 Lemona Ave",0,1,N/A
2450296,"November 1, 2022",Ohio,Loveland,"Geneva Ct and Valencia Dr",0,1,N/A
2450272,"November 1, 2022",Michigan,Farmington,"33230 Slocum Dr",0,1,N/A
2450275,"November 1, 2022",Wisconsin,Milwaukee,"N 7th St and W Keefe Ave",1,0,N/A
2450265,"November 1, 2022",Georgia,Lithonia,"600 block of Lake Cir",0,2,N/A
2450247,"November 1, 2022",Georgia,Hartwell,GA-172,1,0,N/A
2450244,"November 1, 2022",Minnesota,Minneapolis,"2500 block of Ogema Pl",0,1,N/A
2450241,"November 1, 2022",Pennsylvania,Mckeesport,N/A,0,2,N/A
2450223,"November 1, 2022",Florida,Thonotosassa,"9000 block of Harney Rd",1,1,N/A
2450990,"November 1, 2022",California,Bakersfield,"800 block of Rembrandt St",1,0,N/A
2449870,"November 1, 2022","New York",Rochester,"Weld St and Scio St",1,1,N/A
2450911,"November 1, 2022",California,"Los Angeles","1755 Viewmont Dr",0,1,N/A
2450168,"November 1, 2022",Illinois,Chicago,"1200 block of S Keeler Ave",0,1,N/A
2449952,"November 1, 2022",Illinois,Chicago,"5248 W Quincy St",0,1,N/A
2450208,"November 1, 2022",California,Palmdale,"39700 30th St W",1,2,N/A
2450123,"November 1, 2022",Florida,"New Port Richey","Menifee Ct",1,0,N/A
2450902,"November 1, 2022","New York",Brooklyn,"653 Watkins St",0,1,N/A
2450074,"November 1, 2022",Texas,Lubbock,"5201 Ave Q",0,1,N/A
2450067,"November 1, 2022",Texas,Calvert,"800 block of W Texas St",0,3,N/A
2450952,"November 1, 2022",Maryland,Annapolis,"100 block of Obery Ct",0,1,N/A
2450011,"November 1, 2022",Texas,Houston,"1201 San Jacinto St",1,2,N/A
2450917,"November 1, 2022",Maryland,Baltimore,"2000 block of W Pratt St",0,4,N/A
